mass_A
t	x	y
0.000	-2.006E-3	0.410
0.033	-3.927E-4	0.410
0.067	5.763E-3	0.409
0.100	1.444E-2	0.405
0.133	2.516E-2	0.396
0.167	4.069E-2	0.391
0.200	5.803E-2	0.380
0.234	7.880E-2	0.371
0.267	0.103	0.362
0.300	0.130	0.350
0.334	0.160	0.337
0.367	0.193	0.325
0.400	0.229	0.313
0.434	0.268	0.301
0.467	0.309	0.291
0.501	0.353	0.284
0.534	0.398	0.280
0.567	0.442	0.272
0.601	0.489	0.270
0.634	0.535	0.268
0.667	0.582	0.268
0.701	0.629	0.269
0.734	0.675	0.269
0.767	0.721	0.269
0.801	0.767	0.268
0.834	0.814	0.263
0.868	0.861	0.254
0.901	0.909	0.247
0.934	0.959	0.236
0.968	1.010	0.226
1.001	1.062	0.213
1.034	1.117	0.202
1.068	1.172	0.191
1.101	1.229	0.173
1.134	1.288	0.157
1.168	1.349	0.139
1.201	1.413	0.123
